Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
196,Luis Scola\scolalu01,BRK,$5000000,,,,,,Cap Space,$5000000
197,Jonas Jerebko\jerebjo01,BOS,$5000000,,,,,,Bird Rights,$5000000
198,Kyle Singler\singlky01,OKC,$4837500,$4666500,$4996000,$5333500,,,Bird Rights,$14500000
199,Mike Dunleavy\dunlemi02,CLE,$4837500,$5175000,,,,,Early Bird Rights,$6500000
200,Joel Embiid\embiijo01,PHI,$4826160,$6100266,,,,,1st Round Pick,$10926426
201,Alex Len\lenal01,PHO,$4823621,,,,,,1st Round Pick,$4823621
202,Jahlil Okafor\okafoja01,PHI,$4788840,$4995120,$6313832,,,,1st round pick,$9783960
203,Jaylen Brown\brownja02,BOS,$4743000,$4956480,$5169960,$6534829,,,1st Rd pick,$9699480
204,Marcus Morris\morrima03,DET,$4625000,$5000000,$5375000,,,,Bird Rights,$15000000
205,Alexis Ajinca\ajincal01,NOP,$4600000,$4900000,$5300000,,,,Early Bird Rights,$14800000
206,Derrick Williams\willide02,MIA,$4598000,,,,,,Cap Space,$4598000
207,C.J. Miles\milescj01,IND,$4583450,$4772675,,,,,MLE,$4583450
208,Jameer Nelson\nelsoja01,DEN,$4540525,$4736050,,,,,Cap Space,$9276575
209,Nerlens Noel\noelne01,PHI,$4384490,,,,,,1st Round Pick,$4384490
210,Aaron Gordon\gordoaa01,ORL,$4351320,$5504420,,,,,1st Round Pick,$9855740
211,Greivis Vasquez\vasqugr01,BRK,$4347826,,,,,,Cap Space,$4347826
212,Kristaps Porzingis\porzikr01,NYK,$4317720,$4503600,$5697054,,,,1st round pick,$8821320
213,Dragan Bender\bendedr01,PHO,$4276320,$4468800,$4661280,$5896519,,,1st Round pick,$8745120
214,Devin Harris\harride01,DAL,$4228000,$4403000,,,,,Cap Space,$8631000
215,J.J. Barea\bareajo01,DAL,$4096950,$3903900,$3710850,,,,Cap Space,$11711700
216,Ben McLemore\mclembe01,SAC,$4008882,,,,,,1st Round Pick,$4008882
217,Leandro Barbosa\barbole01,PHO,$4000000,$4000000,,,,,Cap Space,$4500000
218,James Johnson\johnsja01,MIA,$4000000,,,,,,Cap Space,$4000000
219,Udonis Haslem\hasleud01,MIA,$4000000,,,,,,Cap Space,$4000000
220,Lavoy Allen\allenla01,IND,$4000000,$4300000,,,,,,$4000000
221,Kris Humphries\humphkr01,ATL,$4000000,,,,,,Cap Space,$4000000
222,Dante Exum\exumda01,UTA,$3940320,$4992385,,,,,1st Round Pick,$8932705
223,Jordan Hill\hilljo01,MIN,$3911380,$4088020,,,,,Cap Space,$3911380
224,Mario Hezonja\hezonma01,ORL,$3909840,$4078320,$5167231,,,,1st round pick,$7988160
225,Kyle O'Quinn\oquinky01,NYK,$3900000,$4100000,$4250000,,,,Bird Rights,$8000000
226,Kris Dunn\dunnkr01,MIN,$3872520,$4046760,$4221000,$5348007,,,1st Round pick,$7919280
227,Thabo Sefolosha\sefolth01,ATL,$3850000,,,,,,,$3850000
228,Nemanja Bjelica\bjeline01,MIN,$3800000,$3949999,,,,,MLE,$7749999
229,Nick Collison\collini01,OKC,$3750000,,,,,,Bird Rights,$3750000
230,Kentavious Caldwell-Pope\caldwke01,DET,$3678319,,,,,,1st Round Pick,$3678319
231,Quincy Pondexter\pondequ01,NOP,$3617978,$3853931,,,,,1st Round Pick,$7471909
232,Patrick Mills\millspa02,SAS,$3578948,,,,,,Bird Rights,$3578948
233,Marcus Smart\smartma01,BOS,$3578880,$4538020,,,,,1st Round Pick,$8116900
234,Bojan Bogdanovic\bogdabo02,BRK,$3573020,,,,,,MLE,$3573020
235,Willie Cauley-Stein\caulewi01,SAC,$3551160,$3704160,$4696875,,,,1st round pick,$7255320
236,Will Barton\bartowi01,DEN,$3533333,$3533333,,,,,Bird Rights,$7066666
237,Buddy Hield\hieldbu01,NOP,$3517200,$3675480,$3833760,$4861208,,,1st Round pick,$7192680
238,Brandon Rush\rushbr01,MIN,$3500000,,,,,,Cap Space,$3500000
239,Paul Pierce\piercpa01,LAC,$3500000,$3700000,,,,,Mini MLE,$7200000
240,Mike Miller\millemi01,DEN,$3500000,$3500000,,,,,Cap Space,$3500000
241,Anthony Morrow\morroan01,OKC,$3488000,,,,,,Cap Space,$3488000
242,Trey Burke\burketr01,WAS,$3386598,,,,,,1st Round Pick,$3386598
243,Mike Scott\scottmi01,ATL,$3333334,,,,,,,
244,K.J. McDaniels\mcdankj01,HOU,$3333333,$3333334,,,,,Mid-level exception,$6666667
245,Troy Daniels\danietr01,MEM,$3332940,$3408520,$3258540,,,,Cap Space,$10000000
246,Julius Randle\randlju01,LAL,$3267120,$4149242,,,,,1st Round Pick,$7416362
247,Emmanuel Mudiay\mudiaem01,DEN,$3241800,$3381480,$4294480,,,,1st round pick,$6623280
248,C.J. McCollum\mccolcj01,POR,$3219579,$23962573,$25759766,$27556959,$29354152,,1st Round Pick,$109853029
249,Jamal Murray\murraja01,DEN,$3210840,$3355320,$3499800,$4444746,,,1st Round pick,$6566160
250,Michael Carter-Williams\cartemi01,CHI,$3183526,,,,,,1st Round Pick,$3183526
251,Steven Adams\adamsst01,OKC,$3140517,$22471910,$24157303,$25842697,$27528090,,1st Round Pick,$103140517
252,Kelly Olynyk\olynyke01,BOS,$3094014,,,,,,1st Round Pick,$3094014
253,Shabazz Muhammad\muhamsh01,MIN,$3046299,,,,,,1st Round Pick,$3046299
254,Omri Casspi\casspom01,SAC,$3000000,,,,,,Room Exception,$3000000
255,Tibor Pleiss\pleisti01,PHI,$3000000,$500000,,,,,,$3500000
256,Justin Hamilton\hamilju01,BRK,$3000000,$3000000,,,,,Cap Space,$6000000
257,Giannis Antetokounmpo\antetgi01,MIL,$2995421,$22471910,$24157303,$25842697,$27528090,,1st Round Pick,$102995421
258,Nik Stauskas\stausni01,PHI,$2993040,$3807146,,,,,1st Round Pick,$6800186
259,Dante Cunningham\cunnida01,NOP,$2978250,$3106500,,,,,MLE,$2978250
260,Stanley Johnson\johnsst04,DET,$2969880,$3097800,$3940402,,,,1st round pick,$6067680
261,Marquese Chriss\chrisma01,PHO,$2941440,$3073800,$3206160,$4078236,,,1st Rd pick,$6015240
262,Dewayne Dedmon\dedmode01,SAS,$2898000,$3028410,,,,,Room exception,$2898000
263,Mindaugas Kuzminskas\kuzmimi01,NYK,$2898000,$3028410,,,,,Room Exception,$5926410
264,Dion Waiters\waitedi01,MIA,$2898000,$3028410,,,,,Room exception,$2898000
265,James Ennis\ennisja01,MEM,$2898000,$3028410,,,,,Room exception,$5926410
266,Nene Hilario\hilarne01,HOU,$2898000,,,,,,Room exception,$2898000
267,Zaza Pachulia\pachuza01,GSW,$2898000,,,,,,Room Exception,$2898000
268,Seth Curry\curryse01,DAL,$2898000,$3028410,,,,,Room exception,$5926410
269,Tomas Satoransky\satorto01,WAS,$2870813,$3000000,$3129187,,,,Cap Space,$9000000
